Column1,Column3,Column4,Column5,Column7,Column8,Column11,Column12,Column15,Column20
WPHP,91.9,WHEELING,WV,0.1,0,40-04-07,80-39-04,,
K220AO,91.9,LORDSBURG,NM,0.055,0.055,32-19-40,108-43-38,,
K220AR,91.9,ALBERT LEA,MN,0.014,0.014,43-38-37,93-23-02,,THE MAVERICK
K220AU,91.9,PORT LIONS,AK,0.009,0,57-52-15,152-52-57,,PUBLIC RADIO FOR KODIAK ISLAND
K220AL,91.9,GIRDWOOD,AK,0.052,0,60-57-12,149-06-03,,ALASKA PUBLIC MEDIA
KCSB-FM,91.9,SANTA BARBARA,CA,0.62,0.62,34-31-31,119-57-29,,YOUR RADIO TO RADIO WITH A PULSE
K220AV,91.9,TAOS,NM,0.043,0,36-23-51,105-32-34,,NEW MEXICO'S PUBLIC RADIO
KUHB-FM,91.9,ST. PAUL,AK,0,0.25,57-07-11,170-16-51,,
WVGS,91.9,STATESBORO,GA,1,1,32-25-32,81-46-58,,91.9 THE BUZZ
K220BJ,91.9,"KLAMATH FALLS, ETC.",OR,0.044,0,42-05-52,121-38-01,,JEFFERSON PUBLIC RADIO
WJIF,91.9,OPP,AL,0.38,0.38,31-15-50,86-13-26,,WHERE JESUS IS FOUND
WHKU,91.9,PROCTORVILLE,OH,4.3,4.3,38-25-17,82-23-50,,K-LOVE
K220BC,91.9,"YERINGTON, ETC.",NV,0.045,0,38-59-15,119-14-35,,
KJLG,91.9,EMPORIA,KS,3,3,38-24-35,96-13-30,,YOU'RE WITH FAMILY
K220BT,91.9,HOONAH,AK,0.009,0,58-06-36,135-26-28,,LIVE AND LOCAL
K220BR,91.9,TENAKEE SPRINGS,AK,0.066,0,57-46-53,135-13-08,,RAVEN RADIO
KSDB,91.9,MANHATTAN,KS,1.4,1.4,39-09-49,96-31-54,3FD7,WILD CAT 91.9
K220BK,91.9,SKAGWAY,AK,0.049,0,59-27-13,135-19-17,,
K220CE,91.9,RUIDOSO,NM,0.082,0,33-24-14,105-46-55,,STAR 88
KQSD-FM,91.9,LOWRY,SD,100,100,45-16-38,99-59-10,3C17,SOUTH DAKOTA PUBLIC BROADCASTING
WUMB-FM,91.9,BOSTON,MA,0.16,0.16,42-14-49,71-02-56,8AB1,91.9 WUMB
K220BZ,91.9,HAPPY CAMP,CA,0.085,0,41-51-30,123-21-13,,JEFFERSON PUBLIC RADIO
K220AN,91.9,TRUTH OR CONSEQUENCE,NM,0.055,0,32-58-17,107-13-13,,
KDLL,91.9,KENAI,AK,4.9,4.9,60-34-03,151-07-25,,
KXRJ,91.9,RUSSELLVILLE,AR,0.1,0,35-17-47,93-08-18,,
K220CM,91.9,LYMAN,WY,0.075,0,41-06-50,110-14-00,,KTYN 91.9 FM
K220CO,91.9,"SOUTH LAKE TAHOE, ET",CA,0,0.149,38-54-37,120-02-06,,PILGRIM RADIO
K220CV,91.9,"WRANGELL, ETC.",AK,0.051,0,56-25-05,132-20-40,,STIKINE RIVER RADIO
K220CG,91.9,SALMON,ID,0.25,0.25,45-08-44,114-00-19,,CLASSICAL 24; NPR NEWS 91
WYFO,91.9,LAKELAND,FL,25,25,27-56-35,81-54-45,,BIBLE BROADCASTING NETWORK
K220CH,91.9,PORT ALEXANDER,AK,0,0.25,56-14-56,134-38-49,,RAVEN RADIO
WCEL,91.9,PLATTSBURGH,NY,0.38,0.38,44-46-27,73-36-48,5A63,NORTHEAST PUBLIC RADIO
K220DF,91.9,"TERRY, ETC.",MT,0.098,0,46-55-26,105-09-47,,YELLOWSTONE PUBLIC RADIO
KTCC,91.9,COLBY,KS,3,3,39-22-34,101-03-08,,COLBY'S HOME FOR CLASSIC ROCK
K220AH,91.9,GUNNISON,CO,0.05,0.05,38-31-24,106-54-25,,K-LOVE
K220AB,91.9,KETCHIKAN,AK,0.136,0,55-21-14,131-40-57,,MOODY RADIO
KCNE-FM,91.9,CHADRON,NE,8.4,8.4,42-48-47,103-00-22,169E,"NET RADIO, NEBRASKA'S NPR"
WVTR,91.9,MARION,VA,4.5,4.5,36-44-52,81-18-15,8E0F 'WVTF',RADIO IQ
K220CQ,91.9,"BREWSTER, ETC,",WA,0.046,0,48-02-14,119-59-07,,SPOKANE PUBLIC RADIO
W220AJ,91.9,MANISTIQUE,MI,0.017,0,45-57-33,86-13-45,,PUBLIC RADIO 90
WOUH-FM,91.9,CHILLICOTHE,OH,0.75,0.75,39-19-46,82-48-08,,OHIO UNIVERSITY PUBLIC RADIO
K220DB,91.9,"SUSANVILLE, ETC.",CA,0.06,0,40-26-49,120-21-25,,
KGNR,91.9,JOHN DAY,OR,1.5,0,44-26-03,118-57-29,,CSN INTERNATIONAL
W220AG,91.9,"LAWRENCEVILLE, ETC.",NJ,0.009,0.009,40-16-58,74-41-11,,WE'RE YOUR RADIO STATION
WFSS,91.9,FAYETTEVILLE,NC,100,100,35-04-22,78-53-27,63C2,
K220DZ,91.9,DOLORES,CO,0,0.067,37-28-07,108-32-48,,TRIBAL RADIO
WYFP,91.9,HARPSWELL,ME,6,6,43-44-14,69-59-39,,BIBLE BROADCASTING NETWORK
K220DN,91.9,GLASGOW,MT,0.023,0.023,48-12-18,106-38-00,,YELLOWSTONE PUBLIC RADIO
K220CN,91.9,"KIRKSVILLE, ETC.",MO,0.234,0,40-13-46,92-32-38,,FAITH RADIO
KDNE,91.9,CRETE,NE,0.2,0.2,40-37-16,96-57-04,,91.9 CORE FM
K220EA,91.9,ANIAK,AK,0.035,0.035,61-34-09,159-32-58,,
K220DV,91.9,GRAND COULEE,WA,0,0.046,47-57-16,119-00-09,37CD,SPOKANE PUBLIC RADIO
K220DQ,91.9,ROSEBURG,OR,0.05,0,43-12-24,123-21-47,,JEFFERSON PUBLIC RADIO
KASU,91.9,JONESBORO,AR,100,100,35-53-27,90-40-26,11E8,KASU 91.9 FM
WAYL,91.9,ST. AUGUSTINE,FL,5,5,29-51-00,81-19-50,,THE TRUTH
K220EB,91.9,BURNEY,CA,0,0.01,40-52-30,121-46-12,,NORTH STATE PUBLIC RADIO
KUWR,91.9,LARAMIE,WY,100,100,41-18-36,105-27-17,471D,WYOMING PUBLIC RADIO
K220EI,91.9,OGDEN,UT,0,0.17,41-09-49,112-01-28,,FAMILY RADIO
WEMI,91.9,APPLETON,WI,3.1,3.1,44-15-17,88-26-13,6078,THE FAMILY
W220AC,91.9,FAIRFIELD,CT,0.019,0.019,41-08-53,73-15-05,,FINE ARTS RADIO
K220EW,91.9,JONESVILLE,LA,0.25,0.25,31-37-05,91-48-10,,AMERICAN FAMILY RADIO
K220FG,91.9,HETTINGER,ND,0.009,0,46-00-09,102-37-50,,PRAIRIE PUBLIC RADIO
K220ED,91.9,PHILIPSBURG,MT,0,0.05,46-20-10,113-18-11,,MOODY RADIO
K220FJ,91.9,BOWMAN,ND,0.008,0,46-11-06,103-23-37,,PRAIRIE PUBLIC RADIO
K220FE,91.9,PLENTYWOOD,MT,0.008,0,48-46-23,104-33-35,,PRAIRIE PUBLIC RADIO
W220AX,91.9,LUDLOW,VT,0,0.01,43-22-04,72-40-51,,THE LIGHT 91.5
K220FC,91.9,HANKSVILLE,UT,0,0.01,38-22-28,110-41-51,,UTAH PUBLIC RADIO
KCFP,91.9,PUEBLO,CO,0.6,0,38-22-23,104-33-42,,COLORADO PUBLIC RADIO
K220FP,91.9,ELK CITY,OK,0.14,0.14,35-27-01,99-27-36,,AMERICAN FAMILY RADIO
W220BD,91.9,ROANOKE,VA,0.01,0.01,37-11-09,80-10-06,,FAMILY RADIO
K220EM,91.9,DZILTH-NA-O-DITH-HLE,NM,0.009,0.009,36-25-03,107-50-39,,NEW MEXICO'S PUBLIC RADIO
K220EZ,91.9,GRAHAM,TX,0.143,0.143,33-07-24,98-35-04,,
K220FL,91.9,BROADUS,MT,0.113,0.113,45-24-38,105-21-28,,YELLOWSTONE PUBLIC RADIO
KBRW-FM,91.9,BARROW,AK,0.89,0.89,71-17-20,156-45-31,,TOP OF THE WORLD RADIO
K220FV,91.9,YANKTON,SD,0.14,0.14,42-54-29,97-32-14,,GOOD NEWS RADIO
K220FA,91.9,HAVILAND,KS,0,0.171,37-36-52,99-06-01,,PRAISE AND ENCOURAGEMENT
WNRN-FM,91.9,CHARLOTTESVILLE,VA,0.56,0.56,37-58-56,78-29-02,78C3,INDEPENDENT MUSIC RADIO
K220EO,91.9,HILO,HI,0,0.25,19-43-00,155-08-13,,MOODY RADIO
W220BI,91.9,EUFAULA,AL,0.027,0.027,31-54-30,85-09-51,,FAITH RADIO
W220BA,91.9,OIL CITY,PA,0.01,0,41-25-47,79-40-59,,Q-91.3
NEW,91.9,LONG LANE VILLAGE,CO,0.1,0.1,40-14-59,103-47-59,,
WFWM,91.9,FROSTBURG,MD,1.3,1.3,39-34-54,78-53-53,,WFWM 91.9
WSCF-FM,91.9,VERO BEACH,FL,15.5,15.5,27-38-10,80-27-59,8469,CHRISTIAN FM
KZOW,91.9,FOREST CITY,IA,0,0.1,43-15-50,93-38-20,,
K220GE,91.9,"LEVAN, ETC.",UT,0,0.01,39-29-31,111-49-40,,UTAH PUBLIC RADIO
K220GF,91.9,LAS CRUCES,NM,0,0.006,32-24-17,106-45-38,,REJOICE RADIO
KUDU,91.9,TOK,AK,0.3,0.3,63-19-52,143-07-10,,LIFETALK RADIO
KPFC,91.9,CALLISBURG,TX,0.3,0.3,33-40-11,97-00-50,3820,
WAUM,91.9,DUCK HILL,MS,2.5,2.5,33-38-34,89-29-59,,AMERICAN FAMILY RADIO
K220GH,91.9,LAKE GEORGE,CO,0,0.05,39-03-01,105-30-52,,THE LIGHT
K220GM,91.9,PLACITAS,NM,0.01,0.01,35-12-46,106-26-59,,FAMILY RADIO
K204GV,91.9,LAMAR,CO,0.182,0.182,38-02-10,102-35-39,,YOU'RE WITH FAMILY
WFPK,91.9,LOUISVILLE,KY,6.8,6.8,38-21-55,85-50-24,636C,INDEPENDANT LOUISVILLE
K220GV,91.9,WEST YELLOWSTONE,MT,0.17,0,44-45-05,111-11-48,,BYU- IDAHO RADIO 94.3
KAVX,91.9,LUFKIN,TX,19,19,31-21-38,94-38-55,1239,A VOICE FOR CHRIST
W220BK,91.9,LOGAN,WV,0.01,0,37-51-21,81-58-44,,WEST VIRGINIA PUBLIC RADIO
KUFN,91.9,HAMILTON,MT,0.9,0.9,46-13-46,114-14-01,,MONTANA PUBLIC RADIO
K220GT,91.9,LINCOLN,NE,0.099,0.099,40-48-42,96-42-10,1E67,K-LOVE
W220BW,91.9,AYDEN,NC,0,0.25,35-28-31,77-24-35,,WINNING OTHERS TO JESUS
WBHZ,91.9,ELKINS,WV,0.275,0.275,38-52-18,79-55-39,,AMERICAN FAMILY RADIO
W220CJ,91.9,PENN YAN,NY,0.01,0.01,42-40-05,77-05-26,,FAMILY LIFE NETWORK
W220CF,91.9,HUNTINGTON,CT,0,0.007,41-16-33,73-07-46,,FINE ARTS RADIO
WGDE,91.9,DEFIANCE,OH,6,6,41-17-41,84-23-24,,
WSHR,91.9,LAKE RONKONKOMA,NY,6,6,40-50-10,73-05-59,84F7,THE ARROW
W220BL,91.9,ROCKFORD,IL,0,0.05,42-22-02,89-05-13,,REJOICE RADIO
K220GX,91.9,WISHRAM,WA,0.014,0.014,45-40-53,120-54-34,,LIFETALK RADIO
K220GR,91.9,LOS BANOS,CA,0.08,0.08,36-59-54,120-54-14,,RADIO VIDA VISION
K220DK,91.9,BUFFALO,WY,0.125,0.125,44-20-50,106-43-25,,YELLOWSTONE PUBLIC RADIO
W220BO,91.9,LOWVILLE,NY,0.01,0.01,43-48-31,75-30-41,,MARS HILL NETWORK
K220GP,91.9,LANDER,WY,0,0.083,42-54-21,108-42-19,,WYOMING PUBLIC RADIO
KSPB,91.9,PEBBLE BEACH,CA,1,1,36-35-11,121-55-21,,
WSLX,91.9,NEW CANAAN,CT,0.019,0,41-11-32,73-29-46,,
WSIU,91.9,CARBONDALE,IL,50,50,37-42-29,89-14-05,8514,
WVSH,91.9,HUNTINGTON,IN,0.92,0,40-53-32,85-30-38,,
WAIC,91.9,SPRINGFIELD,MA,0.2,0.2,42-06-45,72-33-24,,CLASSICAL NEPM
KWSC,91.9,WAYNE,NE,0.32,0.32,42-14-37,97-00-34,,THE CAT
WCEB,91.9,CORNING,NY,0.015,0,42-07-10,77-05-02,,
K220FI,91.9,BEACH,ND,0.008,0,46-54-33,104-00-24,,PRAIRIE PUBLIC RADIO
KAQA-FM1,91.9,KILAUEA,HI,0,0.2,22-13-36,159-23-54,,KAUAI COMMUNITY RADIO
WHDI,91.9,SISTER BAY,WI,11,11,45-14-16,87-05-28,677A,IDEAS NETWORK
KBCW-FM,91.9,MCALESTER,OK,5,5,34-59-13,95-42-10,12EE,CLASSICAL RADIO 90.1/91.9
K220GL,91.9,PLEASANTON,TX,0.1,0.1,28-54-43,98-26-30,,CSN INTERNATIONAL
WOWL,91.9,BURNSVILLE,MS,18,18,34-55-47,88-24-37,7BE7,LISTENER SUPPORTED WOWL
KYRM,91.9,YUMA,AZ,6.3,6.3,33-03-18,114-49-37,5126,MANANTIAL 91.9
KBDD,91.9,WINFIELD,KS,48,48,37-22-56,96-57-20,,THE SONLIFE RADIO NETWORK
K220HX,91.9,FRANKLIN,NE,0,0.14,40-12-21,98-56-42,,CSN INTERNATIONAL
KXBR,91.9,INTERNATIONAL FALLS,MN,1.5,1.5,48-34-15,93-26-19,,BRIDGE 91.9
KSSU,91.9,DURANT,OK,1.5,1.5,34-00-45,96-19-45,,U92 FM
K220IJ,91.9,YUMA,CO,0,0.14,40-01-28,102-39-58,,CSN INTERNATIONAL
KAXV,91.9,BASTROP,LA,12,12,32-49-22,92-07-28,,AMERICAN FAMILY RADIO
K220ID,91.9,GRAYSON,LA,0.01,0.01,32-01-03,92-06-07,,THE SONLIFE RADIO NETWORK
WNGN,91.9,ARGYLE,NY,2,2,43-13-33,73-26-34,,INSPO RADIO
KLWD,91.9,GILLETTE,WY,1,1,44-13-50,105-27-45,,CSN INTERNATIONAL
KHLR,91.9,HARRISON,AR,5.5,5.5,36-22-12,93-13-23,,AIR1
KXRI,91.9,AMARILLO,TX,11,11,35-14-31,101-48-43,4E7E,AIR1
W220CO,91.9,CARBONDALE,PA,0.01,0.01,41-32-34,75-27-47,,LIFETALK RADIO
WCLK,91.9,ATLANTA,GA,6,6,33-44-56,84-24-26,A518,JAZZ 91.9 FM WCLK
KVCR,91.9,SAN BERNARDINO,CA,3.2,3.2,33-57-57,117-17-09,47B9,NEWS 91
W220DD,91.9,MOREHEAD CITY,NC,0.05,0.05,34-44-17,76-47-56,,THE SONLIFE RADIO NETWORK
W220CH,91.9,WEST HARTFORD,CT,0.01,0.01,41-47-48,72-47-50,75BB,FINE ARTS RADIO
WHGN,91.9,CRYSTAL RIVER,FL,41,39.3,28-50-29,82-30-21,67CD,FROM THE WORD TO LIFE
WRVN,91.9,UTICA,NY,1.9,1.9,43-08-31,75-13-36,83BB,24 HOUR SOURCE FOR NPR NEWS
W220CC,91.9,JOHNSONVILLE,TN,0.013,0.013,36-02-17,87-56-57,,CSN INTERNATIONAL
K220DA,91.9,RICHLAND,OR,0.01,0.01,44-51-21,117-09-24,,OPB
K220HG,91.9,ELKO,NV,0,0.01,40-55-44,115-50-35,,CSN INTERNATIONAL
K220HF,91.9,PORT LAVACA,TX,0.25,0.25,28-37-29,96-41-00,,RADIO CRISTIANA
WAAE,91.9,NEW BERN,NC,1.35,1.35,35-08-14,77-00-22,,AMERICAN FAMILY RADIO
K220HO,91.9,SIOUX CITY,IA,0,0.17,42-30-53,96-18-06,,REJOICE RADIO
WVME,91.9,MEADVILLE,PA,4.4,4.4,41-37-50,80-10-38,,MOODY RADIO
WLJS-FM,91.9,JACKSONVILLE,AL,0.61,0.61,33-50-12,85-43-59,,91.9 FM WLJS
WGIB,91.9,BIRMINGHAM,AL,3.5,3.5,33-24-59,86-36-28,6551,WHERE GOD IS BLESSING
KMUN,91.9,ASTORIA,OR,7.2,7.2,46-15-46,123-53-09,31C5,COAST COMMUNITY RADIO
K220KA,91.9,KERRVILLE,TX,0,0.062,30-02-37,99-07-16,,CSN INTERNATIONAL
K220BV,91.9,SAN JOSE,CA,0,0.025,37-09-35,121-54-36,,
KOHN,91.9,SELLS,AZ,10,10,32-07-59,112-09-31,,HEWEL ?I'OK NETWORK
KCKF,91.9,CUBA,MO,5,5,38-02-14,91-23-04,,SPIRIT FM
KGLT,91.9,BOZEMAN,MT,12,12,45-57-25,111-22-14,,ALTERNATIVE PUBLIC RADIO IN SOUTHWEST MONTANA
KQOH,91.9,MARSHFIELD,MO,3.8,3.8,37-17-45,93-08-26,,CATHOLIC RADIO
KVEJ,91.9,VALENTINE,NE,1.3,1.3,42-54-03,100-33-15,,
K220BI,91.9,GRAND MARAIS,MN,0.023,0.023,47-46-10,90-20-45,,LIFE-FM 97.3
KLXV,91.9,GLENWOOD SPRINGS,CO,0.75,0.185,39-25-30,107-22-46,,K-LOVE
KANR,91.9,SANTA ROSA,NM,2,2,34-57-20,104-40-55,,NEW MEXICO PUBLIC MEDIA
KSRD,91.9,ST. JOSEPH,MO,10,10,39-42-35,95-02-33,4145,AIR1
WKWJ,91.9,KEY WEST,FL,1.1,1.1,24-33-18,81-48-05,0000,THE CORNERSTONE
WJEF,91.9,LAFAYETTE,IN,0.25,0.25,40-23-52,86-52-26,,JEFF 92
WASW,91.9,WAYCROSS,GA,18,18,31-16-13,82-39-19,,AMERICAN FAMILY RADIO
WCFM,91.9,WILLIAMSTOWN,MA,0.44,0.44,42-42-38,73-12-06,,
WAPX-FM,91.9,CLARKSVILLE,TN,6,6,36-32-13,87-21-26,,MAGIC 91-POINT-NINE
KHKL,91.9,LAYTONVILLE,CA,0.1,0.1,39-41-38,123-34-43,,K-LOVE
WGJL,91.9,MILLEDGEVILLE,GA,13,13,32-49-29,83-10-34,,
WUOT,91.9,KNOXVILLE,TN,80,80,36-00-19,83-56-23,8AF7,NPR FOR EAST TENNESSEE
KRTY,91.9,GREAT BEND,KS,7.4,7.4,38-20-17,98-45-48,3EEA,K-LOVE
KWTD,91.9,RIDGECREST,CA,7,7,35-28-38,117-41-58,,
KBHZ,91.9,WILLMAR,MN,25,25,45-00-40,94-53-56,1373,PRAISE FM
K220HY,91.9,SPENCER,IA,0.25,0.25,43-08-40,95-09-03,,LIFE-FM
K220GJ,91.9,BORREGO SPRINGS,CA,0,0.05,33-15-30,116-22-12,,CSN INTERNATIONAL
WKVH,91.9,MONTICELLO,FL,1.5,1.5,30-40-13,83-56-26,7139,K-LOVE
W220DL,91.9,STATESVILLE,NC,0.038,0.038,35-46-38,80-53-04,,BIBLE BROADCASTING NETWORK
KPMD,91.9,EVANSTON,WY,0.215,0.215,41-21-10,110-54-29,,PILGRIM RADIO
WFPB-FM,91.9,FALMOUTH,MA,0.26,5.2,41-36-50,70-35-56,6363,
K220HI,91.9,CLARKSTON,UT,0,0.016,41-53-51,111-57-40,,CSN INTERNATIONAL
WKCO,91.9,GAMBIER,OH,0.265,0,40-22-25,82-23-45,,
WGTS,91.9,TAKOMA PARK,MD,27,0,38-59-12,77-00-04,6680,
KHCJ,91.9,JEFFERSON,TX,3.2,3.2,32-50-07,94-28-53,22B9 (KHCJ),KEEPING HIM CLOSE BY
K220FI,91.9,TOPEKA,KS,0.1,0.1,39-01-49,95-45-12,,AIR1
WLKP,91.9,BELPRE,OH,2.9,2.9,39-20-35,81-29-52,,K-LOVE
K220JB,91.9,VACAVILLE,CA,0,0.01,38-24-22,122-06-33,,K-LOVE
KMEO,91.9,MERTZON,TX,0,4.74,31-25-16,100-32-36,,AMERICAN FAMILY RADIO
WMTU-FM,91.9,HOUGHTON,MI,0.1,0.1,47-07-12,88-32-56,765A,TAKE BACK THE RADIO
KDNA,91.9,YAKIMA,WA,18.5,18.5,46-31-42,120-31-03,,RADIO CADENA
W220CN,91.9,CHARLESTON,SC,0.05,0.05,32-49-01,79-50-10,,HIS RADIO PRAISE
K220IV,91.9,NORTH POLE,AK,0.062,0.062,64-51-52,147-38-23,,AIR1
WCMK,91.9,PUTNEY,VT,0.08,0.08,42-58-28,72-36-12,,THE LIGHT 91.5
K220FR,91.9,THOUSAND OAKS,CA,0,0.25,34-12-21,118-49-07,,AIR1
DKFRW,91.9,GREAT FALLS,MT,50,50,47-49-13,111-47-56,,FAMILY RADIO
K220IY,91.9,LAFAYETTE,CO,0.115,0.115,40-14-24,105-03-23,,LIGHT PRAISE RADIO
KLLR,91.9,DRIPPING SPRINGS,TX,2,2,30-11-58,98-11-28,2E3B,K-LOVE
K220DE,91.9,WINDSOR,CO,0.01,0.01,40-29-36,105-10-52,,LIGHT PRAISE RADIO
W220EN,91.9,CARLYLE,IL,0.17,0.17,38-38-24,89-22-40,,COVENANT NETWORK
K220FK,91.9,SCOTTSBLUFF,NE,0,0.205,41-56-25,103-39-20,,CSN INTERNATIONAL
WLBL-FM,91.9,WAUSAU,WI,0.054,0.054,44-55-14,89-41-28,,IDEAS NETWORK
KWSO,91.9,WARM SPRINGS,OR,4.1,4.1,44-50-24,121-13-55,,KWSO 91.9
WUIS,91.9,SPRINGFIELD,IL,50,50,39-47-01,89-26-46,8A5A,NPR ILLNOIS
KRAR,91.9,ESPANOLA,NM,5.9,5.9,36-09-08,106-02-21,,NEW MEXICO'S PUBLIC RADIO
KRRE,91.9,LAS VEGAS,NM,0.1,0.1,35-36-12,105-15-32,,NEW MEXICO'S PUBLIC RADIO
KIAM-FM,91.9,NENANA,AK,0.95,0.95,64-34-40,149-04-41,,THE GOSPEL VOICE IN THE WILDERNESS
WXPW,91.9,WAUSAU,WI,0.054,0.054,44-55-14,89-41-28,AF93,LOCAL PUBLIC RADIO
W220CT,91.9,SALISBURY,MD,0.02,0.02,38-24-17,75-36-03,,REACH RADIO GOSPEL
WRCM,91.9,WINGATE,NC,30,30,35-03-34,80-40-14,81CC,K-LOVE
WMYE,91.9,FORT MYERS,FL,1.05,1.05,26-47-09,81-47-46,76CC,CALL FM
WMBV,91.9,DIXONS MILLS,AL,62,62,32-07-45,87-44-16,7487,MOODY RADIO
KCKR,91.9,CHURCH POINT,LA,12.5,12.4,30-19-47,92-05-06,165D,THE SONLIFE RADIO NETWORK
KTDV,91.9,STATE CENTER,IA,22,22,42-15-49,93-03-57,,THE DOVE
WDPW,91.9,GREENVILLE,MI,0,4,43-05-12,85-18-59,,POWER 91.9
WMJC,91.9,RICHLAND,MI,0,6,42-27-13,85-20-39,7555,STRONG TOWER RADIO
KXFR,91.9,SOCORRO,NM,25,25,34-23-44,107-00-42,,FAMILY RADIO
K220HE,91.9,CHEHALIS,WA,0,0.0155,46-33-16,123-03-26,,CSN INTERNATIONAL
KHPO,91.9,PORT O'CONNOR,TX,35,35,28-26-17,96-26-55,,KEEPING HIM CLOSE BY
K220BM,91.9,RANGELY,CO,0.028,0.028,40-09-30,108-56-56,,K-LOVE
KLDD,91.9,MCCLOUD,CA,1.1,1.1,41-13-19,122-18-27,,CLASSICAL 24
WWRA,91.9,CLINTON,LA,25,25,30-49-00,90-48-42,,RADIO AMOR
K220JN,91.9,GRANBY,CO,0.115,0.115,40-02-20,105-53-30,,COMMUNITY RADIO
W220EE,91.9,COLUMBIA,TN,0.027,0.027,35-37-04,87-02-38,,BIBLE BROADCASTING NETWORK
K220IN,91.9,PORTLAND,OR,0.011,0.011,45-31-21,122-44-45,,CSN INTERNATIONAL
K220AD,91.9,VALDEZ,AK,1.09,1.09,61-07-46,146-21-27,,MOODY RADIO
WJCH,91.9,JOLIET,IL,50,50,41-24-55,88-16-19,0000,FAMILY RADIO
KWRV,91.9,SUN VALLEY,ID,0.1,0.1,43-39-41,114-24-08,,CLASSICAL MPR
KPGA,91.9,MORTON,TX,100,100,33-33-01,102-13-07,3838,AIR1
KTML,91.9,SOUTH FORK,CO,0,0.5,37-43-47,106-35-18,,THE LIGHT
WLFS,91.9,PORT WENTWORTH,GA,23.5,23,32-09-28,80-59-31,7248,HIS RADIO
K220IT,91.9,WATERTOWN,SD,0.25,0.25,44-54-23,97-06-21,,LIFE FM
KVLP,91.9,TUCUMCARI,NM,2.8,2.9,35-08-23,103-44-43,48A1,K-LOVE
WITT,91.9,ZIONSVILLE,IN,6,6,40-00-14,86-28-14,,
K220JL,91.9,WALLA WALLA,WA,0.135,0.135,46-01-34,118-19-50,,RADIO BY GRACE
WHOJ,91.9,TERRE HAUTE,IN,1.5,1.5,39-28-05,87-23-59,,COVENANT NETWORK
KTYN,91.9,THAYNE,WY,0.077,0.077,43-06-18,111-07-17,,KTYN 91.9 FM
KRVM-FM,91.9,EUGENE,OR,15,6.4,44-00-07,123-06-47,,
WXPJ,91.9,HACKETTSTOWN,NJ,5.4,5.4,40-51-08,74-52-25,92F7,XPN 88.5
KWJC,91.9,LIBERTY,MO,7,7,39-07-23,94-23-25,4B04,CLASSICAL 91.9 CLASSICAL KC
K220FY,91.9,SITKA,AK,0,0.02,57-03-04,135-19-52,,CSN INTERNATIONAL
K220HR,91.9,HOOD RIVER,OR,0.01,0.01,45-44-31,121-34-43,141E,KBOO COMMUNITY RADIO
K220EU,91.9,ERWINVILLE,LA,0,0.15,30-36-59,91-20-28,,CSN INTERNATIONAL
WBPR,91.9,WORCESTER,MA,0.27,0.27,42-18-11,71-53-52,7C6F (WPBR),
WXMF,91.9,MARION,OH,6,6,40-36-51,83-12-56,92B2,NEW VISION FM
KCKV,91.9,KIRKSVILLE,MO,1.1,1.1,40-13-46,92-32-39,,THE PULSE CHANNEL
WGCP,91.9,CADILLAC,MI,2.1,2.1,44-16-33,85-42-48,64C3,
K220JR,91.9,TEXARKANA,TX,0.099,0.099,33-25-57,94-05-19,,RED DE RADIO AMISTAD
WMEB-FM,91.9,ORONO,ME,10,10,44-55-08,68-40-00,74C1,REDEFINING ALTERNATIVE
KLVR,91.9,MIDDLETOWN,CA,0.8,0.8,38-40-08,122-37-54,,K-LOVE
WMKL,91.9,HAMMOCKS,FL,50,50,25-45-42,80-49-11,7567,RADIO MARIA
K220JS,91.9,ONTARIO,OR,0,0.1,44-03-44,116-54-22,,EFFECT RADIO
WYTL,91.9,WYOMISSING,PA,0.45,0.45,40-11-09,75-57-15,59CA,WORD FM
KDUR,91.9,DURANGO,CO,0,6,37-16-41,107-52-21,,
W220EL,91.9,JAMESTOWN,NY,0.009,0.009,42-07-53,79-13-13,,BIBLE BROADCASTING NETWORK
WBNJ,91.9,BARNEGAT,NJ,0,4.5,39-45-54,74-19-12,58A7,UNFORGETTABLE FAVORITES
WHVM,91.9,OWEGO,NY,0.16,0.16,42-05-40,76-25-20,,HOLY VIRGIN MARY RADIO
KALD,91.9,CALDWELL,TX,30,30,30-35-57,96-38-32,1121,KEEPING HIM CLOSE BY
W220DS,91.9,MONTGOMERY,AL,0.01,0.01,32-20-07,86-17-16,,RADIO BY GRACE
KQNY,91.9,QUINCY,CA,2.7,2.7,39-56-15,120-56-49,,
W220BX,91.9,YORK,PA,0,0.01,40-00-21,76-40-35,,CSN INTERNATIONAL
WDRT,91.9,VIROQUA,WI,3,3,43-36-28,90-53-24,5E61,
K220JU,91.9,NAMPA,ID,0.01,0.01,43-45-18,116-05-53,,EFFECT RADIO
KVIR,91.9,DOLAN SPRINGS,AZ,30,30,35-14-56,114-44-34,2E18,K-LOVE
W220CD,91.9,ENKA,NC,0.01,0.01,35-36-04,82-39-07,,CSN INTERNATIONAL
KJNR,91.9,BETHEL,AK,0,3,60-47-41,161-46-18,,
WVMR-FM,91.9,HILLSBORO,WV,0.55,0.55,38-11-30,80-11-44,,ALLEGHENY MOUNTAIN RADIO
WGBQ,91.9,LYNCHBURG,TN,0.9,0.9,35-16-32,86-21-37,,AMERICAN FAMILY RADIO
